category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievanceswithgoodrating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,"Thai Airways","Check-in & Boarding",5,0,0,5,5,0,NA,5,0,0,0,0,0,0,0,0,1,5,4,1,1,0
Airline,Saudia,"Check-in &amp; Boarding",13,0,0,8,8,0,NA,12,1,0,0,0,1,0,0,0,0,13,12,1,1,0
Airline,"Srilankan Airways","Check-in & Boarding",6,0,0,5,5,0,NA,5,1,0,0,1,0,0,0,0,0,6,5,1,1,0
Airline,"Finn Air","Check-in &amp; Boarding",2,0,0,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0
Airline,"Malindo Airways","Flight Delays",30,0,0,12,12,0,NA,26,4,4,0,0,0,0,0,0,0,30,26,4,4,0
Airline,"Malindo Airways",Meal,5,0,0,5,5,0,NA,4,1,0,0,0,0,1,0,0,0,5,4,1,1,0
Airline,"Malindo Airways","Ticketing, Fares &amp; Refunds",59,0,0,49,49,0,NA,57,2,2,0,0,0,0,0,0,0,59,56,3,3,0
Airline,"China Eastern Airlines","Flight Delays",3,0,0,3,3,0,NA,2,1,1,0,0,0,0,0,0,0,3,2,1,1,0
"Helicopter - General Aviation",NA,,7,0,0,7,7,0,NA,6,1,1,0,0,0,0,0,0,1,7,5,2,2,0
Customs,Calicut,Arrival,6,0,0,6,6,0,NA,4,2,1,1,0,0,0,0,0,2,6,3,3,3,0
Immigration,Ahmedabad,Departure,4,0,0,4,4,0,NA,3,1,1,0,0,0,0,0,0,0,4,3,1,1,0
Immigration,Tiruchirappalli,Departure,5,0,0,4,4,0,NA,4,1,1,0,0,0,0,0,0,0,5,4,1,1,0
Airport,Hyderabad,"Person With Disability",5,0,0,5,5,0,NA,4,1,1,0,0,0,0,0,0,0,5,4,1,1,0
Airport,Hyderabad,"Retail Shops / Food &amp; Beverage",18,0,0,18,18,0,NA,16,2,0,0,0,2,0,0,0,0,18,16,2,2,0
Airport,Bhubaneswar,"Cleanliness / Hygiene",18,0,0,18,18,0,NA,17,1,1,0,0,0,0,1,0,1,18,17,1,1,0
Airport,Bhubaneswar,"Retail Shops / Food & Beverage",5,0,0,5,5,0,NA,3,2,2,0,0,0,0,0,0,0,5,3,2,2,0
Airport,Nagpur,"Taxi / Parking",13,0,0,13,13,0,NA,12,1,1,0,0,0,0,0,0,0,13,12,1,1,0
Airport,Aurangabad,"Taxi / Parking",11,0,0,11,11,0,NA,11,0,0,0,0,0,0,0,0,1,11,10,1,1,0
Airport,MIHAN,"Taxi / Parking",5,0,0,5,5,0,NA,4,1,1,0,0,0,0,0,0,0,5,4,1,1,0
Airport,Visakhapatnam,"Staff / Crew behavoiur",2,0,0,2,2,0,NA,1,1,1,0,0,0,0,0,0,1,2,1,1,1,0
Airport,Rajahmundry,"Taxi / Parking",8,0,0,8,8,0,NA,7,1,1,0,0,0,0,0,0,1,8,7,1,1,0
Airport,Ranchi,"Staff / Crew behavoiur",4,0,0,4,4,0,NA,4,0,0,0,0,0,0,0,0,0,4,3,1,1,0
Airport,Allahabad,"Person With Disability",1,0,0,1,1,0,NA,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
Airport,Raipur,"Cleanliness / Hygiene",4,0,0,4,4,0,NA,3,1,1,0,0,0,0,0,0,0,4,3,1,1,0
Airport,Raipur,"Retail Shops / Food &amp; Beverage",5,0,0,4,4,0,NA,5,0,0,0,0,0,0,0,0,2,5,3,2,2,0
Airport,Pune,"Air Conditioning / Maintenance",16,0,0,16,16,0,NA,14,2,2,0,0,0,0,0,0,0,16,14,2,2,0
Airport,Chennai,"Baggage / Lost &amp; Found ",57,0,0,18,18,0,NA,56,1,0,0,1,0,0,0,0,0,57,56,1,1,0
Airport,Chennai,"Signages / Flight Display",32,0,0,32,32,0,NA,32,0,0,0,0,0,0,0,0,0,32,31,1,1,0
Airport,Surat,"Baggage / Lost &amp; Found ",5,0,0,0,0,0,NA,4,1,0,1,0,0,0,0,0,0,5,4,1,1,0
Airport,Lilabari,"Trolly / Ameniites / Buggy / Wifi",2,0,0,2,2,0,NA,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0
Airport,Bhopal,"Trolly / Ameniites / Buggy / Wifi",8,0,0,8,8,0,NA,7,1,1,0,0,0,0,0,0,0,8,7,1,1,0
Airport,Goa,Other,35,0,0,35,35,0,NA,32,3,2,0,0,1,0,1,0,2,35,31,4,4,0
Airport,Goa,"Retail Shops / Food &amp; Beverage",4,0,0,4,4,0,NA,3,1,0,0,1,0,0,0,0,0,4,3,1,1,0
Airport,Kolkata,"Air Conditioning / Maintenance",23,0,0,18,18,0,NA,21,2,1,1,0,0,0,0,0,0,23,21,2,2,0
Airport,Kolkata,"Taxi / Parking",26,0,0,26,26,0,NA,23,3,3,0,0,0,0,1,0,0,26,23,3,3,0
Airport,Srinagar,"Staff / Crew behavoiur",10,0,0,10,10,0,NA,9,1,0,0,1,0,0,0,0,0,10,9,1,1,0
Airport,Mangalore,Other,7,0,0,7,7,0,NA,6,1,1,0,0,0,0,0,0,0,7,6,1,1,0
Security,Ahmedabad,"Boarding Gate",1,0,0,1,1,0,NA,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
Security,Surat,"Terminal Entry",4,0,0,4,4,0,NA,2,2,2,0,0,0,0,0,0,0,4,2,2,2,0
Airline,Aeroflot,"Check-in &amp; Boarding",3,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,Aeroflot,Meal,2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Emirates Airline","Person With Disability",3,0,0,1,1,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,"Emirates Airline","Ticketing, Fares &amp; Refunds",40,0,0,23,23,0,NA,40,0,0,0,0,0,0,0,0,0,40,40,0,0,0
Airline,"Kuwait Airways","Check-in &amp; Boarding",4,0,0,1,1,0,NA,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Kuwait Airways","Ticketing, Fares &amp; Refunds",4,0,0,4,4,0,NA,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"All Nippon Airways","Ticketing, Fares & Refunds",8,0,0,8,8,0,NA,8,0,0,0,0,0,0,1,0,1,8,8,0,0,0
Airline,"United Airlines","Staff / Crew Behavior",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Biman Bangladesh",Baggage,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Biman Bangladesh",Other,2,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Qatar Airways",,5,0,0,5,5,0,NA,5,0,0,0,0,0,0,2,3,4,5,5,0,0,0
Airline,"Qatar Airways",Meal,5,0,0,3,3,0,NA,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Airline,"Air Canada","Check-in &amp; Boarding",2,0,0,1,1,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Virgin Atlantic",Baggage,8,0,0,8,8,0,NA,8,0,0,0,0,0,0,0,0,2,8,8,0,0,0
Airline,"Virgin Atlantic","Ticketing, Fares & Refunds",1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Airline,"Air Asia Berhad (Intl Tickets)","Check-in & Boarding",2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Gulf Air","Staff / Crew Behavior",2,0,0,1,1,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Shandong Airlines","Ticketing, Fares & Refunds",3,0,0,3,3,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,"Yemenia Airways","Ticketing, Fares &amp; Refunds",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Dragon Air","Ticketing, Fares & Refunds",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Star Air",Meal,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Kam Air","Check-in &amp; Boarding",1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air India Express",,26,0,0,26,26,0,NA,26,0,0,0,0,0,0,25,0,23,26,26,0,0,0
Airline,"Ukraine International","Check-in & Boarding",1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Ukraine International","Check-in &amp; Boarding",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Ukraine International","Flight Delays",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Airline,"Air France",Baggage,23,0,0,17,17,0,NA,23,0,0,0,0,0,0,0,0,0,23,23,0,0,0
Airline,"Asiana Airlines",Baggage,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Druk Air",Other,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,FlyBig,Baggage,3,0,0,3,3,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,FlyBig,Maintenance,2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,FlyBig,"Staff / Crew Behavior",2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"IndiaOne Air","Ticketing, Fares &amp; Refunds",2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Alliance Air (India)","Person With Disability",7,0,0,4,4,0,NA,7,0,0,0,0,0,0,0,0,0,7,7,0,0,0
Airline,"VietJet Air","Staff / Crew Behavior",2,0,0,1,1,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Singapore Airlines",Maintenance,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Turkish Airlines",,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Airline,"Turkish Airlines",Other,18,0,0,18,18,0,NA,18,0,0,0,0,0,0,0,0,0,18,18,0,0,0
Airline,"Turkish Airlines","Staff / Crew Behavior",4,0,0,4,4,0,NA,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Egypt Air",Baggage,11,1,0,7,7,0,NA,10,0,0,0,0,0,0,0,0,0,11,11,0,0,0
Airline,"Egypt Air","Check-in &amp; Boarding",3,0,0,1,1,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,"Egypt Air","Flight Delays",4,0,1,1,1,0,NA,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Oman Airlines",,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Airline,"Thai Airways","Check-in &amp; Boarding",23,0,0,8,8,0,NA,23,0,0,0,0,0,0,0,0,1,23,23,0,0,0
Airline,"Island Aviation Services","Ticketing, Fares &amp; Refunds",1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Airline,IndiGo,,49,0,0,49,49,0,NA,49,0,0,0,0,0,0,49,0,48,49,49,0,0,0
Airline,"Bangkok Airways","Ticketing, Fares & Refunds",9,0,0,9,9,0,NA,9,0,0,0,0,0,0,0,0,0,9,9,0,0,0
Airline,"Air Astana",Meal,6,0,0,5,5,0,NA,6,0,0,0,0,0,0,0,0,1,6,6,0,0,0
Airline,"Finn Air","Staff / Crew Behavior",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Akasa Air",Cleanliness,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
